,stations_id,stationshoehe,geogr_breite,geogr_laenge,von_datum,bis_datum,stationsname
2926,207,105.0,51.7473,11.4689,1976-07-14 00:00:00+01:00,1996-11-04 00:00:00+01:00,Aschersleben
2927,207,105.0,51.7498,11.4667,1996-11-05 00:00:00+01:00,2003-09-30 00:00:00+02:00,Aschersleben
2928,2039,244.0,51.8845,10.5598,1879-12-01 00:00:00+00:18,1926-12-31 00:00:00+00:00,"Harzburg, Bad"
2929,2039,278.0,51.8817,10.5698,1927-01-01 00:00:00+00:00,1962-04-23 00:00:00+01:00,"Harzburg, Bad"
2930,2039,260.0,51.8844,10.5656,1962-04-24 00:00:00+01:00,1990-09-30 00:00:00+02:00,"Harzburg, Bad"
2931,2039,269.0,51.8839,10.5434,1990-10-01 00:00:00+01:00,2006-10-31 00:00:00+01:00,"Harzburg, Bad"
2932,2039,201.0,51.9002,10.5699,2006-11-01 00:00:00+01:00,,"Harzburg, Bad"
2933,5715,52.0,52.4167,9.45,1891-01-01 00:00:00+00:18,1975-06-30 00:00:00+01:00,Wunstorf
2934,5715,57.0,52.4617,9.4275,1975-07-01 00:00:00+01:00,2006-11-26 00:00:00+01:00,Wunstorf
2935,5715,57.0,52.4618,9.427,2006-11-27 00:00:00+01:00,2009-12-31 00:00:00+01:00,Wunstorf
2936,5715,57.0,52.4605,9.4311,2010-01-01 00:00:00+01:00,2021-11-15 00:00:00+01:00,Wunstorf
2937,5715,48.55,52.4626,9.4245,2021-11-16 00:00:00+01:00,,Wunstorf
2938,1544,47.0,52.513,11.3964,1871-01-01 00:00:00+00:18,2006-07-09 00:00:00+02:00,Gardelegen
2939,1544,47.0,52.513,11.3964,2006-07-10 00:00:00+02:00,2007-06-30 00:00:00+02:00,Gardelegen
2940,1544,47.0,52.5129,11.3942,2007-07-01 00:00:00+02:00,,Gardelegen
2941,1238,121.0,50.9881,7.4034,1949-10-01 00:00:00+01:00,1952-10-31 00:00:00+01:00,Engelskirchen
2942,1238,125.0,50.9879,7.4081,1952-11-01 00:00:00+01:00,1962-01-14 00:00:00+01:00,Engelskirchen
2943,1238,125.0,50.9879,7.4109,1962-01-15 00:00:00+01:00,1967-04-02 00:00:00+01:00,Engelskirchen
2944,1238,140.0,50.9815,7.4142,1967-04-03 00:00:00+01:00,1991-06-30 00:00:00+02:00,Engelskirchen
2945,1238,144.0,50.9884,7.425,1991-07-01 00:00:00+02:00,1996-10-20 00:00:00+02:00,Engelskirchen
2946,619,4.0,53.5878,6.6708,1876-01-01 00:00:00+00:18,1889-06-08 00:00:00+00:18,Borkum-Süderstraße
2947,619,6.0,53.5874,6.6629,1889-06-09 00:00:00+00:18,1908-12-31 00:00:00+00:00,Borkum-Süderstraße
2948,619,6.0,53.5866,6.6705,1909-01-01 00:00:00+00:00,1929-07-31 00:00:00+01:00,Borkum-Süderstraße
2949,619,6.0,53.5915,6.663,1929-08-01 00:00:00+01:00,1939-07-31 00:00:00+01:00,Borkum-Süderstraße
2950,619,6.0,53.5795,6.6654,1939-08-01 00:00:00+01:00,1940-08-31 00:00:00+02:00,Borkum-Süderstraße
2951,619,2.0,53.5653,6.7562,1940-09-01 00:00:00+02:00,1942-03-31 00:00:00+02:00,Borkum-Süderstraße
2952,619,2.0,53.5981,6.703,1942-04-01 00:00:00+02:00,1946-09-14 00:00:00+02:00,Borkum-Süderstraße
2953,619,12.0,53.5795,6.6654,1946-09-15 00:00:00+02:00,1972-06-30 00:00:00+01:00,Borkum-Süderstraße
2954,619,5.0,53.5609,6.7462,1972-07-01 00:00:00+01:00,2006-02-28 00:00:00+01:00,Borkum-Süderstraße
2955,619,11.6,53.5788,6.6703,2006-03-01 00:00:00+01:00,,Borkum-Süderstraße
2956,202,127.0,49.973,9.1501,1833-03-01 00:00:00+00:18,1895-07-31 00:00:00+00:18,Aschaffenburg
2957,202,127.0,49.98,9.14,1895-08-01 00:00:00+00:18,1940-09-30 00:00:00+02:00,Aschaffenburg
2958,202,140.0,49.9765,9.1409,1940-10-01 00:00:00+02:00,1944-08-31 00:00:00+02:00,Aschaffenburg
2959,202,202.0,49.9741,9.1731,1946-07-01 00:00:00+02:00,1952-03-31 00:00:00+01:00,Aschaffenburg
2960,202,130.0,49.9575,9.1197,1952-04-01 00:00:00+01:00,1961-01-31 00:00:00+01:00,Aschaffenburg
2961,202,140.0,49.9662,9.1496,1961-12-11 00:00:00+01:00,1982-04-14 00:00:00+02:00,Aschaffenburg
2962,202,128.0,49.972,9.1498,1982-04-15 00:00:00+02:00,1989-06-30 00:00:00+02:00,Aschaffenburg
2963,202,110.0,49.9778,9.112,1989-07-01 00:00:00+02:00,1992-09-02 00:00:00+02:00,Aschaffenburg
2964,202,110.5,49.9771,9.1091,1992-09-03 00:00:00+02:00,,Aschaffenburg
2965,1146,487.0,48.6593,8.9121,1985-07-01 00:00:00+02:00,1987-07-31 00:00:00+02:00,Ehningen
2966,2600,197.0,49.7355,10.1608,1897-02-01 00:00:00+00:18,1949-07-13 00:00:00+01:00,Kitzingen
2967,2600,219.0,49.7406,10.1443,1949-07-14 00:00:00+01:00,1956-01-31 00:00:00+01:00,Kitzingen
2968,2600,194.0,49.7328,10.1789,1956-02-01 00:00:00+01:00,1982-10-31 00:00:00+01:00,Kitzingen
2969,2600,220.0,49.7253,10.1924,1982-11-01 00:00:00+01:00,1991-03-31 00:00:00+01:00,Kitzingen
2970,2600,230.0,49.724,10.1915,1991-04-01 00:00:00+02:00,1998-02-28 00:00:00+01:00,Kitzingen
2971,2600,188.0,49.7359,10.1781,1998-07-01 00:00:00+02:00,2005-02-28 00:00:00+01:00,Kitzingen
2972,2600,193.0,49.7363,10.1781,2005-03-01 00:00:00+01:00,,Kitzingen
2973,15926,370.0,49.341,12.133,1948-02-20 00:00:00+01:00,1955-10-19 00:00:00+01:00,Fronberg (Schwandorf)
2974,5279,135.0,51.6265,9.5354,1891-12-01 00:00:00+00:18,1913-11-30 00:00:00+00:00,Wesertal-Lippoldsberg
2975,5279,115.0,51.6248,9.5606,1914-03-01 00:00:00+00:00,1944-12-31 00:00:00+01:00,Wesertal-Lippoldsberg
2976,5279,216.0,51.6172,9.5907,1948-06-21 00:00:00+01:00,1950-10-03 00:00:00+01:00,Wesertal-Lippoldsberg
2977,5279,216.0,51.6148,9.5894,1950-10-04 00:00:00+01:00,1955-04-13 00:00:00+01:00,Wesertal-Lippoldsberg
2978,5279,113.0,51.6206,9.5575,1955-04-14 00:00:00+01:00,1962-07-31 00:00:00+01:00,Wesertal-Lippoldsberg
2979,5279,120.0,51.6206,9.5575,1962-08-01 00:00:00+01:00,1963-03-12 00:00:00+01:00,Wesertal-Lippoldsberg
2980,5279,111.0,51.621,9.553,1963-03-13 00:00:00+01:00,1971-11-30 00:00:00+01:00,Wesertal-Lippoldsberg
2981,5279,131.0,51.6202,9.5624,1972-01-01 00:00:00+01:00,1975-07-31 00:00:00+01:00,Wesertal-Lippoldsberg
2982,5279,131.0,51.6214,9.5614,1975-08-01 00:00:00+01:00,1980-05-27 00:00:00+02:00,Wesertal-Lippoldsberg
2983,5279,180.0,51.6192,9.5754,1980-05-28 00:00:00+02:00,1982-05-02 00:00:00+02:00,Wesertal-Lippoldsberg
2984,5279,180.0,51.6193,9.5753,1982-05-03 00:00:00+02:00,2004-08-31 00:00:00+02:00,Wesertal-Lippoldsberg
2985,5279,176.0,51.6194,9.5749,2004-09-01 00:00:00+02:00,,Wesertal-Lippoldsberg
2986,4005,530.0,47.8588,12.3624,1936-03-25 00:00:00+00:00,1957-12-31 00:00:00+01:00,Prien-Stock
2987,4729,342.0,50.2694,9.4295,1989-07-01 00:00:00+02:00,1998-01-31 00:00:00+01:00,Steinau-Seidenroth
