,stations_id,betreibername,betrieb_von_datum,betrieb_bis_datum
201,963,GeophysBdBw,1994-01-01 00:00:00+01:00,1994-03-31 00:00:00+02:00
202,963,DWD,1994-04-01 00:00:00+02:00,
203,5643,Wetterdienst,1890-01-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
204,5643,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
205,5643,DWD,1991-01-01 00:00:00+01:00,
206,2410,GeophysBdBw,1960-04-25 00:00:00+01:00,2003-03-10 00:00:00+01:00
207,2410,GeoInfoDBw,2003-03-11 00:00:00+01:00,
208,3086,Wetterdienst,1938-08-01 00:00:00+01:00,1945-03-31 00:00:00+01:00
209,3086,DWD,1985-02-15 00:00:00+01:00,
210,7428,DWD,2006-08-01 00:00:00+02:00,
211,817,Wetterdienst,1951-05-01 00:00:00+01:00,1952-11-10 00:00:00+01:00
212,817,DWD,1952-11-11 00:00:00+01:00,
213,3946,Wetterdienst,1863-12-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
214,3946,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
215,3946,DWD,1991-01-01 00:00:00+01:00,
216,4177,Wetterdienst,1923-05-01 00:00:00+01:00,1952-11-10 00:00:00+01:00
217,4177,DWD,1952-11-11 00:00:00+01:00,1985-06-30 00:00:00+02:00
218,4177,DWD,2008-10-28 00:00:00+01:00,
219,3540,DWD,1992-09-01 00:00:00+02:00,
220,2794,Wetterdienst,1883-01-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
221,2794,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
222,2794,DWD,1991-01-01 00:00:00+01:00,
223,15801,DWD,2016-03-01 00:00:00+01:00,
224,3651,DWD,1992-04-02 00:00:00+02:00,
225,3289,Meteorologischer Dienst der DDR,1972-10-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
226,3289,DWD,1991-01-01 00:00:00+01:00,
227,4271,Wetterdienst,1901-01-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
228,4271,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
229,4271,DWD,1991-01-01 00:00:00+01:00,
230,5664,Wetterdienst,1936-05-10 00:00:00+01:00,1952-11-10 00:00:00+01:00
231,5664,DWD,1952-11-11 00:00:00+01:00,
232,1161,Wetterdienst,1921-01-01 00:00:00+00:00,1952-11-10 00:00:00+01:00
233,1161,DWD,1952-11-11 00:00:00+01:00,2000-06-30 00:00:00+02:00
234,1161,DWD,2004-07-07 00:00:00+02:00,
235,7350,DWD,2005-07-26 00:00:00+02:00,
236,19172,DWD,2020-01-16 00:00:00+01:00,
237,3668,Wetterdienst,1878-01-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
238,3668,DWD,1952-11-11 00:00:00+01:00,
239,7410,DWD,2006-03-01 00:00:00+01:00,
240,4931,Wetterdienst,1937-02-15 00:00:00+00:00,1952-11-10 00:00:00+01:00
241,4931,DWD,1952-11-11 00:00:00+01:00,
242,3083,Wetterdienst,1885-02-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
243,3083,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
244,3083,DWD,1991-01-01 00:00:00+01:00,
245,5046,Wetterdienst,1892-09-01 00:00:00+00:18,1898-02-28 00:00:00+00:18
